interval_start_timestamp,channel_name,channel_id,participators,communicators,messages_sent,pct_participated_in_channel,pct_communicated_in_channel
2023-06-11T00:00:00+00:00,'🆘・seção-3-ajuda',980905695689998366,10,5,29,1.074113856068743,2.8735632183908044
2023-06-11T00:00:00+00:00,'🆘・seção-4-ajuda',980905761783832637,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'🏁・progresso',980906289968345128,12,6,15,1.288936627282492,3.4482758620689653
2023-06-11T00:00:00+00:00,'📚・missão-8',983156585201295391,2,3,3,0.2148227712137486,1.7241379310344829
2023-06-11T00:00:00+00:00,'💬・geral-nft-collection',989253073178329189,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'🏁・progresso',989253312106864650,2,0,0,0.2148227712137486,
2023-06-11T00:00:00+00:00,'⨎・filecoin',990782828822265896,2,1,1,0.2148227712137486,0.5747126436781608
2023-06-11T00:00:00+00:00,'🆘・seção-3-ajuda',995819957931749466,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'🆘・seção-1-ajuda',995820133618561065,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'🆘・seção-4-ajuda',995820182008234036,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'🏁・progresso',995820199515258962,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'📚・missão-9',998684143649050707,1,2,2,0.1074113856068743,1.1494252873563218
2023-06-11T00:00:00+00:00,'📃・javascript',999727949127368848,22,6,9,2.363050483351236,3.4482758620689653
2023-06-11T00:00:00+00:00,'k・kindelia',1006692538784161893,1,1,1,0.1074113856068743,0.5747126436781608
2023-06-11T00:00:00+00:00,'∞・internet-computer',1014339384289542224,4,1,1,0.4296455424274973,0.5747126436781608
2023-06-11T00:00:00+00:00,'🧪・pod-labs',1018684397265883216,74,6,12,7.9484425349087005,3.4482758620689653
2023-06-11T00:00:00+00:00,'🎫・suporte',1019591442089390129,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'🌎・pod-expansão-global',1021771261485006890,1,1,2,0.1074113856068743,0.5747126436781608
2023-06-11T00:00:00+00:00,'🐙・octopus',1021919941848465539,1,1,1,0.1074113856068743,0.5747126436781608
2023-06-11T00:00:00+00:00,'𝚣𝗄・zero-knowledge',1022167784228143196,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'📆・calendário-dos-pods',1022254354847252530,25,0,0,2.6852846401718584,
2023-06-11T00:00:00+00:00,'news',1022268308680093759,1,0,0,0.1074113856068743,
2023-06-11T00:00:00+00:00,'💬・geral-solana-web3',1024032116087996456,5,0,0,0.5370569280343716,
2023-06-11T00:00:00+00:00,'🏁・progresso',1024032761641705553,4,0,0,0.4296455424274973,
2023-06-11T00:00:00+00:00,'🆘・seção-2-ajuda',1024032866075680778,8,5,29,0.8592910848549946,2.8735632183908044
2023-06-11T00:00:00+00:00,'🆘・seção-3-ajuda',1024032893900701796,5,4,24,0.5370569280343716,2.2988505747126435
2023-06-11T00:00:00+00:00,'🇪🇸・solo-español',1025172017625964694,4,0,0,0.4296455424274973,
